[2023-04-15 13:36:34,831] 26	T_sample 45.56	T_update 3.74	ETA 2 days, 13:14:52	expert_R_avg 0.4780 [0.5894,0.7483,0.3049,0.5813,0.9336]	expert_R_range (0.1279, 0.9876)	eps_len 27.52
[2023-04-15 13:37:23,888] 27	T_sample 45.26	T_update 3.75	ETA 2 days, 12:53:00	expert_R_avg 0.4811 [0.5900,0.7492,0.3102,0.5833,0.9332]	expert_R_range (0.0981, 0.9897)	eps_len 27.90
[2023-04-15 13:38:12,313] 28	T_sample 44.63	T_update 3.75	ETA 2 days, 12:05:17	expert_R_avg 0.4852 [0.5918,0.7488,0.3167,0.5867,0.9327]	expert_R_range (0.1077, 0.9898)	eps_len 28.26
[2023-04-15 13:38:59,000] 29	T_sample 42.89	T_update 3.75	ETA 2 days, 9:54:51	expert_R_avg 0.4659 [0.5541,0.7618,0.2935,0.5864,0.9313]	expert_R_range (0.1137, 0.9883)	eps_len 30.21
[2023-04-15 13:39:45,034] 30	T_sample 42.21	T_update 3.78	ETA 2 days, 9:05:34	expert_R_avg 0.4671 [0.5563,0.7620,0.2939,0.5892,0.9308]	expert_R_range (0.1081, 0.9901)	eps_len 30.73
[2023-04-15 13:40:31,360] 31	T_sample 42.51	T_update 3.77	ETA 2 days, 9:26:24	expert_R_avg 0.4702 [0.5587,0.7610,0.2991,0.5900,0.9305]	expert_R_range (0.1012, 0.9875)	eps_len 30.92
[2023-04-15 13:41:21,540] 32	T_sample 46.37	T_update 3.77	ETA 2 days, 14:12:41	expert_R_avg 0.4851 [0.6126,0.7503,0.3133,0.5651,0.9312]	expert_R_range (0.0920, 0.9892)	eps_len 26.87
[2023-04-15 13:42:11,955] 33	T_sample 46.61	T_update 3.76	ETA 2 days, 14:29:06	expert_R_avg 0.4870 [0.6153,0.7507,0.3163,0.5642,0.9309]	expert_R_range (0.0987, 0.9905)	eps_len 26.91
[2023-04-15 13:43:01,624] 34	T_sample 45.85	T_update 3.77	ETA 2 days, 13:32:57	expert_R_avg 0.4919 [0.6181,0.7511,0.3228,0.5703,0.9305]	expert_R_range (0.0940, 0.9889)	eps_len 27.35
[2023-04-15 13:43:50,214] 35	T_sample 44.76	T_update 3.78	ETA 2 days, 12:11:46	expert_R_avg 0.4929 [0.6161,0.7481,0.3258,0.5723,0.9302]	expert_R_range (0.0860, 0.9878)	eps_len 27.61
